id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
264024512,Monterrey,research,,https://www.inaturalist.org/observations/264024512,,25.6692401545,-100.3461921269,,,false,Garza dedos dorados,Egretta thula,Garza dedos dorados,Aves,4940
264024513,Monterrey,research,,https://www.inaturalist.org/observations/264024513,,25.6690177442,-100.3454303796,,,false,Garza dedos dorados,Egretta thula,Garza dedos dorados,Aves,4940
264030851,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/264030851,,25.7147883333,-100.3151633333,,,false,Clay-colored Thrush,Turdus grayi,Mirlo Café,Aves,12720
264099138,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/264099138,,25.7144633333,-100.315095,,,false,Monk Parakeet,Myiopsitta monachus,Perico Monje Argentino,Aves,19349
264099166,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/264099166,,25.7131966667,-100.3139583333,,,false,Estornino Pinto,Sturnus vulgaris,Estornino Pinto,Aves,14850
264303247,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/264303247,,25.7633449618,-100.2818763367,,,true,Golden-fronted Woodpecker,Melanerpes aurifrons,Carpintero cheje,Aves,18167
264522436,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264522436,,25.6137276213,-100.3633991389,,,true,Pato real doméstico,Cairina moschata domestica,Pato real doméstico,Aves,204094
264568389,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264568389,,25.5491821701,-100.270999385,,,false,Carbonero cresta negra,Baeolophus atricristatus,Carbonero cresta negra,Aves,13631
264569664,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264569664,,25.5488082837,-100.2711066733,,,false,Chipe Tropical,Setophaga pitiayumi,Chipe Tropical,Aves,145234
264569666,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264569666,,25.5487723439,-100.2711012984,,,false,Piranga Encinera,Piranga flava,Piranga Encinera,Aves,9924
264570069,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264570069,,25.5468250571,-100.2710883881,,,false,Vireo anteojillo,Vireo solitarius,Vireo anteojillo,Aves,17402
264570072,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264570072,,25.5467649169,-100.2709368329,,,false,Reyezuelo Matraquita,Corthylio calendula,Reyezuelo Matraquita,Aves,1289388
264570075,Monterrey,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/264570075,,25.5467806468,-100.2708165747,,,false,Chipe Gorra Canela Común,Basileuterus rufifrons,Chipe Gorra Canela Común,Aves,10045
264571462,Monterrey,research,,https://www.inaturalist.org/observations/264571462,,25.6778507222,-100.2829513333,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
264583702,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264583702,,25.6671200309,-100.310928449,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
264583753,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264583753,,25.6671055257,-100.310915038,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
264583795,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264583795,,25.6671130805,-100.3109304607,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
264583932,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264583932,,25.6670964599,-100.3109546006,,,false,Paloma doméstica,Columba livia domestica,Paloma Doméstica,Aves,122767
264602859,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264602859,,25.59719248,-100.33913527,,,false,Carpintero Olivo,Colaptes rubiginosus,Carpintero Olivo,Aves,72755
264677414,Monterrey,research,,https://www.inaturalist.org/observations/264677414,,25.7176606131,-100.4032696447,,,false,Chara pecho gris,Aphelocoma wollweberi,Chara pecho gris,Aves,144207
264688074,Monterrey,research,,https://www.inaturalist.org/observations/264688074,,25.6444700411,-100.2922196191,,,false,Turkey Vulture,Cathartes aura,Zopilote aura,Aves,4756
264697263,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/264697263,,25.7156974832,-100.3158152273,,,false,Carpintero mexicano,Dryobates scalaris,Carpintero mexicano,Aves,792986
264862434,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264862434,,25.7121796039,-100.3588711982,,,false,Pinzón mexicano,Haemorhous mexicanus,Pinzón mexicano,Aves,199840
264935798,Monterrey,research,,https://www.inaturalist.org/observations/264935798,,25.6699883333,-100.3772966667,,,false,Gorrión Doméstico Europeo,Passer domesticus domesticus,Gorrión Doméstico Europeo,Aves,544795
264943587,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264943587,,25.6772303756,-100.3095155954,,,false,Melanerpes aurifrons aurifrons,Melanerpes aurifrons aurifrons,,Aves,718552
264995764,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264995764,,25.6904366667,-100.3726716667,,,false,Colibrí pico ancho norteño,Cynanthus latirostris,Colibrí pico ancho norteño,Aves,6141
264995914,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/264995914,,25.6728682076,-100.3299054131,,,false,Colibrí pico ancho norteño,Cynanthus latirostris,Colibrí pico ancho norteño,Aves,6141
265077605,Monterrey,research,,https://www.inaturalist.org/observations/265077605,,25.5984292,-100.3353342,,,false,Chara pecho gris,Aphelocoma wollweberi,Chara pecho gris,Aves,144207
265125563,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/265125563,,25.6043000021,-100.2759383333,,,false,Chara verde,Cyanocorax yncas,Chara verde,Aves,8474
